,AAL,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMD,AMGN,AMZN,ASML,ATVI,AVGO,BIDU,BIIB,BKNG,BMRN,CDNS,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CSX,CTAS,CTRP,CTSH,CTXS,DLTR,EA,EBAY,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,GOOGL,HAS,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,JD,KHC,KLAC,LBTYA,LBTYK,LRCX,LULU,MAR,MCHP,MDLZ,MELI,MNST,MSFT,MU,MXIM,MYL,NFLX,NTAP,NTES,NVDA,NXPI,ORLY,PAYX,PCAR,PEP,PYPL,QCOM,REGN,ROST,SBUX,SIRI,SNPS,SWKS,SYMC,TMUS,TSLA,TTWO,TXN,UAL,ULTA,VRSK,VRSN,VRTX,WBA,WDAY,WDC,WLTW,WYNN,XEL,XLNX
0,41.5847,134.9767,121.8,79.3911,100.4752,86.69,107.99,124.74,37.403,14.28,170.9502,854.59,122.248,48.9465,215.1241,173.25,292.95,1767.12,93.12,31.67,124.43,55.48,100.4,324.34,35.882,154.6869,31.9786,46.7372,116.5083,48.99,58.0883,84.3711,74.58,90.73,32.6878,124.8976,48.551,139.6,58.945,29.4774,30.025,64.1378,845.54,864.58,92.8787,86.11,151.6,166.91,151.03,33.3806,122.5626,244.6298,93.5529,31.69,84.4495,88.1583,35.94,35.4,118.7888,63.79,84.9295,71.9743,42.3698,212.2456,46.43,62.3306,25.7,43.1301,42.98,143.52,40.4466,284.6825,101.1957,103.3875,274.43,58.6215,65.6403,102.8888,42.59,53.9881,388.88,65.7595,52.3819,5.3593,72.09,96.2032,30.0081,61.84,246.17,59.51,76.9236,69.85,286.91,79.76,86.34,92.95,81.8485,84.49,71.4621,125.0172,100.5518,40.8811,57.718
1,40.4462,134.7731,121.44,80.2737,99.6414,85.91,107.48,121.6,37.2376,14.1,170.0721,852.53,122.0511,48.5311,213.1291,172.84,292.47,1769.0,91.65,31.6,124.68,55.09,99.54,324.64,35.9878,155.3355,31.9974,46.4942,115.8433,49.37,58.0,81.4802,74.19,90.9,32.7376,125.2016,47.8804,139.32,58.685,29.4479,30.0447,64.3182,845.62,865.91,93.3446,85.625,151.21,164.83,150.96,33.3996,121.9348,246.6931,92.7573,31.37,84.3384,88.1678,35.79,35.35,118.7403,63.67,84.1878,71.4815,42.0344,211.8066,46.27,62.0416,25.58,42.9323,42.77,143.19,40.4851,284.2798,101.1262,103.1986,275.39,58.3872,65.1374,102.823,42.1,53.7665,391.1,66.0836,52.0367,5.31,70.76,95.9604,29.9056,61.35,258.0,59.25,76.9901,66.55,285.38,79.35,86.13,92.74,81.6477,83.96,71.4621,125.1044,100.9374,40.9,57.4583
2,41.3099,136.1985,122.11,80.1106,100.3123,88.4,110.31,122.12,37.87,13.98,172.4137,852.97,124.0986,48.6696,214.6301,172.04,292.64,1767.98,92.5,31.58,126.88,55.71,100.73,325.38,36.3149,156.5576,32.1099,46.6108,116.8311,48.66,58.0981,81.967,74.56,91.51,32.7675,126.9866,48.7494,139.72,58.825,29.8416,30.2613,64.9825,847.2,868.39,94.6091,86.36,153.68,165.95,152.66,33.3237,122.288,248.8898,93.3957,31.38,85.0608,88.8703,36.78,36.24,120.5066,63.94,85.7004,71.9936,42.6957,214.63,47.09,62.3691,26.12,43.3374,42.83,145.25,40.6682,281.7458,101.8912,103.1489,270.71,58.9026,66.6074,104.4875,42.39,54.0436,397.8,66.339,52.2956,5.2214,70.25,96.2712,29.9788,62.99,255.73,59.02,77.6832,68.17,287.78,80.07,86.95,94.57,82.0301,83.58,72.425,126.0256,100.9856,41.6566,58.0355
3,41.3492,136.4215,122.35,79.3528,99.9098,86.73,110.47,122.41,37.9965,13.65,170.0626,853.42,124.2167,48.5509,212.1967,176.57,278.96,1773.98,90.96,31.63,126.62,56.35,101.92,323.72,36.2475,157.0464,32.1005,46.2706,116.6159,49.0,58.2451,82.0266,75.53,90.2,32.9767,128.2125,48.4094,139.99,58.63,29.7235,30.281,65.0489,848.78,870.0,94.3524,85.585,151.62,159.46,148.44,33.3617,121.9741,247.8431,92.7769,31.54,85.9221,89.4304,37.13,36.5,122.2535,63.84,85.9346,71.6071,43.0119,211.0683,46.88,62.2631,26.04,42.7345,42.49,144.39,40.6489,278.2198,103.1431,102.8009,272.06,58.6871,66.6268,104.5157,42.4,53.8866,392.59,66.1131,52.5449,5.2509,70.76,95.2999,29.9886,62.39,262.05,58.51,77.5787,67.56,286.32,80.35,87.44,92.36,81.9058,85.04,72.8215,125.3759,102.3546,41.2121,57.7758
4,40.9468,135.7427,127.01,79.8708,100.734,86.22,111.85,122.08,38.2203,13.49,159.2041,852.31,125.8999,48.5806,211.0706,176.62,276.09,1772.63,90.9,31.86,125.77,56.61,101.42,325.81,36.0359,157.7515,32.1005,45.5707,122.122,49.06,57.4118,82.1756,75.7,89.59,33.5745,128.6735,48.995,139.84,58.895,29.7923,30.34,65.5425,852.12,872.37,95.3126,85.625,151.95,160.42,147.96,33.4851,121.5523,249.9431,92.276,31.56,85.1905,89.8956,37.36,36.63,122.7484,64.04,86.1981,71.7617,42.8873,210.799,46.47,62.4847,25.8,42.9794,42.03,145.11,40.514,286.3031,105.3886,102.6717,274.2,58.8839,67.2361,104.7508,43.08,53.1478,380.29,66.447,53.4846,5.2805,71.14,95.125,29.9593,63.5,261.5,58.01,78.044,66.79,288.81,81.19,86.25,91.92,82.1353,84.96,72.5666,126.0159,106.2301,41.4674,57.8046
5,40.9272,137.1681,126.31,79.5254,100.1015,86.32,113.23,120.2,38.5025,14.4,159.799,856.97,126.2642,48.4125,211.1279,176.13,274.8,1765.44,90.0,31.93,126.51,56.57,101.69,324.99,36.0551,157.4036,32.1474,45.5707,121.5744,49.76,57.8236,81.9471,74.3,89.16,33.6841,127.3691,48.9289,139.94,58.35,29.6152,30.153,65.2103,848.4,867.91,95.5979,85.705,151.54,163.49,148.52,33.637,121.0422,250.0097,91.2546,31.72,85.5424,90.3039,36.64,35.94,123.1172,63.79,86.5396,71.8293,42.5902,215.6078,46.8,62.5425,26.21,43.149,42.17,145.83,40.4081,288.8764,108.7469,102.7313,273.08,58.3872,66.8396,104.5251,43.16,53.3879,382.02,65.2782,53.5134,5.2312,71.52,95.3776,30.0374,63.11,261.92,57.89,77.4648,67.49,285.71,80.95,86.57,91.31,80.9115,85.5,72.1418,126.2389,107.628,41.2216,58.0355
6,39.6709,135.5973,125.07,78.4702,98.8268,83.64,111.06,118.7,37.5392,13.82,157.5423,843.2,124.3447,47.6808,206.1465,171.4,275.79,1747.14,87.03,31.51,123.82,56.81,101.11,320.66,35.6607,156.7832,31.7723,44.3459,121.056,48.04,57.3824,80.9736,73.44,88.41,33.0664,125.1428,48.3243,138.51,58.08,29.6152,30.0841,64.2897,830.46,850.14,93.896,85.4,150.11,163.5,140.73,33.2667,118.7371,248.6498,89.9777,30.32,85.1164,89.4209,35.55,34.74,120.6036,62.93,86.9495,69.8875,42.2644,205.222,46.69,61.8489,25.52,42.3953,41.67,142.42,39.4063,277.6305,105.2296,102.3436,270.5,57.7875,65.4275,105.1081,42.64,52.4551,370.98,64.6005,53.2545,5.113,70.61,92.7841,29.2762,62.47,250.68,56.6,75.7178,65.28,281.28,79.63,86.44,89.5,79.5539,81.82,69.1209,125.2693,107.734,41.9497,56.6597
7,39.6022,137.1293,126.21,78.7772,99.3635,84.6,111.99,120.08,37.7727,14.1,158.1089,848.06,126.904,48.1356,207.4825,169.56,277.87,1751.99,87.42,31.78,123.37,56.4,102.84,321.2,35.6319,157.6293,31.9786,45.1527,121.633,48.2,58.2942,81.659,73.98,88.74,33.4051,125.2213,48.8533,139.59,57.94,29.94,30.4877,64.3751,829.59,849.8,93.915,85.925,152.88,167.79,141.28,33.58,118.8058,249.4364,90.0661,30.58,85.4776,90.7311,35.17,34.33,121.7003,62.82,89.9161,71.0082,42.1686,209.1428,47.13,62.6388,26.06,42.9417,41.7,142.65,39.4737,281.0877,107.3758,102.1348,271.4,58.0968,65.3115,105.3432,43.19,52.6768,369.14,65.1701,53.5901,5.0243,71.07,93.9691,29.9203,63.27,255.01,57.58,76.6103,66.95,283.26,80.03,86.94,90.04,79.3818,81.45,70.7352,125.4244,109.2765,42.0916,56.8329
8,40.6425,136.6445,126.87,78.2208,99.2102,85.69,112.55,120.26,37.8019,13.79,156.7775,847.38,127.1993,48.2345,206.9481,169.61,275.41,1748.33,86.84,31.73,123.22,56.53,103.4,323.62,35.805,156.896,31.8473,44.8222,123.1783,48.62,57.6079,82.8412,74.38,88.61,33.3951,124.5936,48.1827,139.53,57.925,30.2648,30.8421,64.0524,817.58,839.65,95.0084,85.73,152.89,167.69,138.97,33.4851,117.6974,248.7264,89.192,31.29,85.2182,90.4083,35.15,34.47,121.6517,63.08,90.892,70.2836,42.1877,207.6962,46.56,62.4847,26.47,42.5272,41.605,141.84,39.3967,281.1663,106.4021,102.105,271.45,57.647,65.3695,105.1175,43.14,52.4644,365.02,64.6005,53.5517,5.0539,71.22,93.736,29.9593,63.12,254.78,57.72,76.5913,67.5,281.22,79.96,87.39,89.05,79.334,81.47,71.9247,125.2596,108.2835,42.1578,56.6116
9,40.9566,136.373,127.7,78.3167,99.076,86.48,113.87,119.26,37.9187,13.7,156.4942,845.61,130.1721,48.5707,208.9617,168.26,274.82,1753.11,87.37,31.61,123.38,57.77,103.38,325.35,35.9589,156.0688,31.9598,45.0264,122.3763,49.18,57.4706,82.5928,74.92,89.35,33.2756,125.2997,47.9465,140.34,57.97,30.3927,31.0291,64.0714,814.43,835.14,95.0464,85.625,153.74,170.58,139.64,33.3806,117.4325,252.6664,88.6616,31.26,84.9126,90.8735,35.13,34.44,123.7092,63.69,91.2433,70.67,41.9769,210.37,46.94,62.5906,28.43,42.612,40.96,142.02,39.3774,283.828,106.7796,102.3933,271.76,57.7407,65.3985,105.4373,43.13,52.5659,373.0,64.9442,54.4722,5.0243,71.15,94.5131,29.7348,64.17,263.16,58.12,76.5154,67.93,281.53,79.71,87.19,89.98,79.3245,82.95,73.8033,125.9383,107.8979,42.3374,56.4096
